Sample,QD-source,Core,Shell,QD-diameter-nm,Emission-wavelength-nm,Surface-ligand,Ligand-chemical,Surface-charge,Surface-modification,Surface-modification-chemical,Cell-anatomical-type,Cell-identification,Cell-source-species,Cell-origin,Cell-tissue-organ-origin,Assay-type,Delivery-type,Exposure-time-hrs,QD-conc-nanoMolar,QD/cell-attomoles/cell,QD/cell-number/cell,Cd-conc-ug/mL,Cd-conc/cell-picomoles/cell,Cell-viability-percent,Cell-viability-StdDev,IC50Value,IC50-ug/ml,IC50-nMolar,IC50-ug/ml,Lowest-conc-nMolar,Lowest-conc-ug/ml,Highest-conc-nMolar,Highest-conc-ug/ml,Surface-conc-nMolar,Reference,
1238,Commercial,CdSe,ZnS,7.2,605,Lipid,Amphiphilic-polymer-Liposome-Antibody-Dox,Neutral,Toxin,Antibody-Doxorubicin,Epithelial,MCF-7,Human ,Cell-line,Breast,Luciferase-assay,Active,1,4.5E+00,6.0E+01,3.6E+07,2.0E-01,2.4E-02,50.0,NA,IC50,1.8E+00,4.5E+00,1.8E+00,NA,NA,4.5E+00,1.8E+00,6.7E+02,188,
1239,Commercial,CdSe,ZnS,9.0,655,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Epithelial,MCF-7,Human ,Cell-line,Breast,MTS,Passive,72,8.0E-01,8.0E+00,4.8E+06,1.8E-01,1.6E-02,100.0,NA,NA,NA,NA,NA,NA,NA,8.0E-01,7.6E-01,2.7E+02,189,
1240,Commercial,CdSe,ZnS,9.0,655,Amphiphilic-polymer,Amphiphilic-polymer,Negative,Unmodified,Unmodified,Epithelial,MCF-10A,Human ,Cell-line,Breast,MTS,Passive,72,8.0E-01,8.0E+00,4.8E+06,1.8E-01,1.6E-02,100.0,NA,NA,NA,NA,NA,NA,NA,8.0E-01,7.6E-01,2.7E+02,189,
1241,In-house,CdSe,ZnS,6.0,620,Amphiphilic-polymer,PMAT-DMED,Positive,Unmodified,Unmodified,Epithelial,MDA-MB-231,Human ,Cell-line,Breast,SRB,Passive,24,1.0E+02,1.0E+03,6.0E+08,9.5E+00,8.4E-01,95.8,1.4,NA,NA,NA,NA,NA,NA,1.0E+02,3.2E+01,1.1E+04,190,
1242,In-house,CdSe,ZnS,6.0,620,Amphiphilic-polymer,PMAT-DMED,Positive,Nucleicacid,siRNA,Epithelial,MDA-MB-231,Human ,Cell-line,Breast,SRB,Active,6,1.0E+02,1.0E+03,6.0E+08,9.5E+00,8.4E-01,76.1,7.0,NA,NA,NA,NA,NA,NA,1.0E+02,3.2E+01,1.1E+04,190,
1243,In-house,CdSe,ZnS,6.0,620,Amphiphilic-polymer,PMAT-DMED,Positive,Nucleicacid,siRNA,Epithelial,MDA-MB-231,Human ,Cell-line,Breast,SRB,Active,12,1.0E+02,1.0E+03,6.0E+08,9.5E+00,8.4E-01,85.9,4.2,NA,NA,NA,NA,NA,NA,1.0E+02,3.2E+01,1.1E+04,190,
1244,In-house,CdSe,ZnS,6.0,620,Amphiphilic-polymer,PMAT-DMED,Positive,Nucleicacid,siRNA,Epithelial,MDA-MB-231,Human ,Cell-line,Breast,SRB,Active,24,1.0E+02,1.0E+03,6.0E+08,9.5E+00,8.4E-01,97.2,0.6,NA,NA,NA,NA,NA,NA,1.0E+02,3.2E+01,1.1E+04,190,
1245,In-house,CdSe,ZnS,6.0,620,Amphiphilic-polymer,PMAT-DMED,Positive,Nucleicacid,siRNA,Epithelial,MDA-MB-231,Human ,Cell-line,Breast,SRB,Active,48,1.0E+02,1.0E+03,6.0E+08,9.5E+00,8.4E-01,83.1,1.4,NA,NA,NA,NA,NA,NA,1.0E+02,3.2E+01,1.1E+04,190,
1246,In-house,CdSe,ZnS,6.0,620,Amphiphilic-polymer,PMAT-DMED,Positive,Nucleicacid,siRNA,Epithelial,MDA-MB-231,Human ,Cell-line,Breast,SRB,Active,24,1.0E+02,1.0E+03,6.0E+08,9.5E+00,8.4E-01,66.2,5.6,NA,NA,NA,NA,NA,NA,1.0E+02,3.2E+01,1.1E+04,190,
1247,Commercial,CdSe,ZnS,9.0,655,Amphiphilic-polymer,Amphiphilic-polymer-Octa-Arginine,Positive,Delivery-Peptide,Octa-Arginine,Stem-cell,ASCs,Mouse,Primary,Adipose-tissue,WST,Active,24,8.0E-01,4.0E+00,2.4E+06,1.8E-01,8.0E-03,82.2,8.2,NA,NA,NA,NA,2.0E-01,1.9E-01,8.0E-01,7.6E-01,2.7E+02,191,
1248,In-house,CdSe,ZnS,3.4,530,Polyol,PEG-PLA,Negative,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,24,8.9E-01,6.4E+03,3.8E+09,3.6E+01,1.3E+01,78.6,8.2,Over50,NA,NA,NA,4.4E-02,2.5E-03,8.9E-01,5.0E-02,3.2E+01,192,
1249,In-house,CdSe,ZnS,3.4,530,Polyol,PEG-PLA,Positive,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,24,1.8E+00,6.4E+03,3.8E+09,3.6E+01,1.3E+01,76.5,4.1,Over50,NA,NA,NA,8.9E-02,5.0E-03,1.8E+00,1.0E-01,6.5E+01,192,
1250,In-house,CdSe,ZnS,3.4,530,Polyol,PEG-PLA,Positive,Unmodified,Unmodified,Epithelial,HeLa,Human ,Cell-line,Cervix,MTT,Passive,24,3.6E+00,6.4E+03,3.8E+09,3.6E+01,1.3E+01,77.6,7.1,Over50,NA,NA,NA,1.8E-01,1.0E-02,3.6E+00,2.0E-01,1.3E+02,192,
1251,In-house,CdSe,CdZnS,5.3,615,Lipid,LPS,Neutral,Unmodified,Unmodified,Neural,N9,Mouse,Cell-line,Brain,MTT,Passive,24,5.0E+00,1.3E+01,7.6E+06,5.8E-01,1.3E-02,68.4,2.6,NA,NA,NA,NA,NA,NA,5.0E+00,1.2E+00,4.4E+02,193,
1252,In-house,CdSe,CdZnS,5.3,615,Lipid,LPS-CLI,Neutral,Drug,CLI,Neural,N9,Mouse,Cell-line,Brain,MTT,Active,24,5.0E+00,1.3E+01,7.6E+06,5.8E-01,1.3E-02,92.1,1.3,NA,NA,NA,NA,NA,NA,5.0E+00,1.2E+00,4.4E+02,193,
1253,In-house,CdSe,ZnS,4.7,597,Amphiphilic-polymer,PMA,Negative,Unmodified,Unmodified,Neuronal ,PC12,Rat,Cell-line,Adrenal-gland,MTT,Passive,24,3.0E+01,1.2E+02,7.2E+07,1.0E+00,3.7E-02,68.5,4.9,Over50,NA,NA,NA,5.0E-01,7.5E-02,3.0E+01,4.5E+00,2.1E+03,194,
1254,In-house,CdSe,ZnS,4.7,597,Amphiphilic-polymer,PMA,Negative,Unmodified,Unmodified,Endothelial,HUVEC,Human ,Primary,Umbilical-Vein,MTT,Passive,24,3.0E+01,1.2E+02,7.2E+07,1.0E+00,3.7E-02,54.8,4.9,Over50,NA,NA,NA,5.0E-01,7.5E-02,3.0E+01,4.5E+00,2.1E+03,194,
1255,In-house,CdSe,ZnS,4.7,597,Amphiphilic-polymer,PMA,Negative,Unmodified,Unmodified,Stem-cell,C17-2,Mouse,Primary,Brain,MTT,Passive,24,3.0E+01,1.2E+02,7.2E+07,1.0E+00,3.7E-02,50.9,4.9,IC50,4.5E+00,3.0E+01,4.5E+00,5.0E-01,7.5E-02,3.0E+01,4.5E+00,2.1E+03,194,
1256,In-house,CdSe,ZnS,4.7,597,Amphiphilic-polymer,PMA,Negative,Unmodified,Unmodified,Endothelial,HUVEC,Human ,Primary,Umbilical-Vein,MTT,Passive,24,2.0E+01,8.0E+01,4.8E+07,6.9E-01,2.5E-02,67.5,7.0,NA,NA,NA,NA,NA,NA,2.0E+01,3.0E+00,1.4E+03,194,
1257,In-house,CdSe,ZnS,4.7,597,Amphiphilic-polymer,PMA-NAC,Negative,Antioxidant,NAC,Endothelial,HUVEC,Human ,Primary,Umbilical-Vein,MTT,Active,24,2.0E+01,8.0E+01,4.8E+07,6.9E-01,2.5E-02,81.6,7.0,NA,NA,NA,NA,NA,NA,2.0E+01,3.0E+00,1.4E+03,194,
1258,In-house,CdSe,ZnS,4.7,597,Amphiphilic-polymer,PMA,Negative,Unmodified,Unmodified,Endothelial,HUVEC,Human ,Primary,Umbilical-Vein,MTT,Passive,48,2.0E+01,8.0E+01,4.8E+07,6.9E-01,2.5E-02,70.3,7.0,NA,NA,NA,NA,NA,NA,2.0E+01,3.0E+00,1.4E+03,194,
1259,In-house,CdSe,ZnS,4.7,597,Amphiphilic-polymer,PMA-NAC,Negative,Antioxidant,NAC,Endothelial,HUVEC,Human ,Primary,Umbilical-Vein,MTT,Active,48,2.0E+01,8.0E+01,4.8E+07,6.9E-01,2.5E-02,78.8,7.0,NA,NA,NA,NA,NA,NA,2.0E+01,3.0E+00,1.4E+03,194,
1260,In-house,CdSe,ZnS,4.7,597,Amphiphilic-polymer,PMA,Negative,Unmodified,Unmodified,Endothelial,HUVEC,Human ,Primary,Umbilical-Vein,MTT,Passive,72,2.0E+01,8.0E+01,4.8E+07,6.9E-01,2.5E-02,64.7,7.0,NA,NA,NA,NA,NA,NA,2.0E+01,3.0E+00,1.4E+03,194,
1261,In-house,CdSe,ZnS,4.7,597,Amphiphilic-polymer,PMA-NAC,Negative,Antioxidant,NAC,Endothelial,HUVEC,Human ,Primary,Umbilical-Vein,MTT,Active,72,2.0E+01,8.0E+01,4.8E+07,6.9E-01,2.5E-02,75.9,7.0,NA,NA,NA,NA,NA,NA,2.0E+01,3.0E+00,1.4E+03,194,
1262,In-house,CdSe,ZnS,4.7,597,Amphiphilic-polymer,PMA,Negative,Unmodified,Unmodified,Endothelial,HUVEC,Human ,Primary,Umbilical-Vein,MTT,Passive,96,2.0E+01,8.0E+01,4.8E+07,6.9E-01,2.5E-02,59.1,8.4,NA,NA,NA,NA,NA,NA,2.0E+01,3.0E+00,1.4E+03,194,
1263,In-house,CdSe,ZnS,4.7,597,Amphiphilic-polymer,PMA-NAC,Negative,Antioxidant,NAC,Endothelial,HUVEC,Human ,Primary,Umbilical-Vein,MTT,Active,96,2.0E+01,8.0E+01,4.8E+07,6.9E-01,2.5E-02,73.1,7.0,NA,NA,NA,NA,NA,NA,2.0E+01,3.0E+00,1.4E+03,194,
1264,In-house,CdSe,ZnS,4.7,597,Amphiphilic-polymer,PMA,Negative,Unmodified,Unmodified,Endothelial,HUVEC,Human ,Primary,Umbilical-Vein,MTT,Passive,120,2.0E+01,8.0E+01,4.8E+07,6.9E-01,2.5E-02,53.4,7.0,NA,NA,NA,NA,NA,NA,2.0E+01,3.0E+00,1.4E+03,194,
1265,In-house,CdSe,ZnS,4.7,597,Amphiphilic-polymer,PMA-NAC,Negative,Antioxidant,NAC,Endothelial,HUVEC,Human ,Primary,Umbilical-Vein,MTT,Active,120,2.0E+01,8.0E+01,4.8E+07,6.9E-01,2.5E-02,67.5,8.4,NA,NA,NA,NA,NA,NA,2.0E+01,3.0E+00,1.4E+03,194,
1266,In-house,CdTe,No-shell,3.0,NA,Aminothiol,CYST-GAM,Positive,Drug,GAM,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Active,48,2.0E+02,4.0E+03,2.4E+09,4.7E+00,8.3E-01,6.7,4.4,IC50,3.0E+00,6.0E+01,3.0E+00,6.3E+00,3.1E-01,2.0E+02,1.0E+01,5.7E+03,195,
1267,In-house,CdTe,No-shell,3.0,NA,Aminothiol,CYST-GAM,Positive,Drug,GAM,Fibroblast,HELF,Human ,Cell-line,Lung,MTT,Active,48,2.0E+02,4.0E+03,2.4E+09,4.7E+00,8.3E-01,8.9,3.3,IC50,2.7E+00,5.5E+01,2.7E+00,6.3E+00,3.1E-01,2.0E+02,1.0E+01,5.7E+03,195,
1268,In-house,CdTe,No-shell,3.0,NA,Aminothiol,CYST-GAM,Positive,Drug,GAM,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Active,24,2.7E+01,5.4E+02,3.3E+08,6.3E-01,1.1E-01,50.0,NA,IC50,1.4E+00,2.7E+01,1.4E+00,NA,NA,2.7E+01,1.4E+00,7.6E+02,195,
1269,In-house,CdTe,No-shell,3.0,NA,Aminothiol,CYST-GAM,Positive,Drug,GAM,Epithelial,HepG2,Human ,Cell-line,Liver,MTT,Active,72,3.0E+00,6.0E+01,3.6E+07,7.0E-02,1.2E-02,50.0,NA,IC50,1.5E-01,3.0E+00,1.5E-01,NA,NA,3.0E+00,1.5E-01,8.5E+01,195,
1270,In-house,CdTe,No-shell,4.5,625,Other-Hydrophilic,COOH-hydrophilic,Negative,Unmodified,Unmodified,Leukocyte,K562,Human ,Cell-line,Blood,MTT,Passive,44,2.0E+03,2.0E+04,1.2E+10,1.6E+02,1.4E+01,86.4,9.1,NA,NA,NA,NA,NA,NA,2.0E+03,3.4E+02,1.3E+05,196,
1271,In-house,CdTe,No-shell,4.5,625,Other-Hydrophilic,COOH-hydrophilic-siRNA,Negative,Nucleicacid,siRNA,Leukocyte,K562,Human ,Cell-line,Blood,MTT,Active,44,2.0E+03,2.0E+04,1.2E+10,1.6E+02,1.4E+01,20.5,9.1,IC50,1.7E+02,1.0E+03,1.7E+02,NA,NA,2.0E+03,3.4E+02,1.3E+05,196,
1272,In-house,CdS,No-shell,5.0,NA,Alkylthiol,MPA,Negative,Unmodified,Unmodified,Endothelial,EAhy926,Human ,Cell-line,Cell-hybrid,Resazurin,Passive,72,1.0E+04,1.0E+06,6.0E+11,1.5E+03,1.3E+03,34.9,14.0,IC50,1.1E+03,6.0E+03,1.1E+03,1.0E+03,1.9E+02,1.0E+04,1.9E+03,7.9E+05,197,
1273,In-house,CdS,No-shell,5.0,NA,Silica,MPS,Neutral,Unmodified,Unmodified,Endothelial,EAhy926,Human ,Cell-line,Cell-hybrid,Resazurin,Passive,72,1.0E+04,1.0E+06,6.0E+11,1.5E+03,1.3E+03,46.5,11.6,IC50,1.7E+03,9.0E+03,1.7E+03,1.0E+03,1.9E+02,1.0E+04,1.9E+03,7.9E+05,197,
1274,In-house,CdS,No-shell,5.0,NA,Alkylthiol,MPA,Negative,Unmodified,Unmodified,Endothelial,EAhy926,Human ,Cell-line,Cell-hybrid,Trypan-Blue,Passive,48,1.0E+04,8.0E+04,4.8E+10,1.5E+03,1.0E+02,21.1,1.3,NA,NA,NA,NA,1.0E+03,1.9E+02,1.0E+04,1.9E+03,7.9E+05,197,
1275,In-house,CdS,No-shell,5.0,NA,Silica,MPS,Neutral,Unmodified,Unmodified,Endothelial,EAhy926,Human ,Cell-line,Cell-hybrid,Trypan-Blue,Passive,48,1.0E+04,8.0E+04,4.8E+10,1.5E+03,1.0E+02,26.3,1.3,NA,NA,NA,NA,1.0E+03,1.9E+02,1.0E+04,1.9E+03,7.9E+05,197,
1276,Commercial,CdSe,ZnS,2.1,520,Other-Hydrophilic,COOH-Ligand-LF,Negative,Polymer,Lipofectamine,Fibroblast,hMSCs,Human ,Primary,Bone-Marrow,WST,Active,72,1.5E+01,1.5E+03,9.0E+08,8.8E-02,7.8E-02,110.0,NA,NA,NA,NA,NA,NA,NA,1.5E+01,2.2E-01,2.1E+02,198,
1277,In-house,CdTe,No-shell,3.6,NA,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Somatic,Hydra,Hydra,Primary,Polyp,BrdU-TUNEL,Passive,72,2.5E+01,2.5E+02,1.5E+08,1.0E+00,9.0E-02,80.0,NA,NA,NA,NA,NA,1.0E+01,8.6E-01,2.5E+01,2.2E+00,1.0E+03,199,
1278,In-house,CdTe,No-shell,3.6,NA,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Somatic,Hydra,Hydra,Primary,Polyp,BrdU-TUNEL,Passive,48,2.5E+01,2.5E+02,1.5E+08,1.0E+00,9.0E-02,89.0,NA,NA,NA,NA,NA,1.0E+01,8.6E-01,2.5E+01,2.2E+00,1.0E+03,199,
1279,In-house,CdTe,No-shell,3.6,NA,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Epithelial,Hydra-EPI,Hydra,Primary,Polyp,BrdU-TUNEL,Passive,84,2.5E+01,2.5E+02,1.5E+08,1.0E+00,9.0E-02,90.5,9.5,NA,NA,NA,NA,NA,NA,2.5E+01,2.2E+00,1.0E+03,199,
1280,In-house,CdTe,No-shell,3.6,NA,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Epithelial,Hydra-EPI,Hydra,Primary,Polyp,BrdU-TUNEL,Passive,96,2.5E+01,2.5E+02,1.5E+08,1.0E+00,9.0E-02,71.4,5.0,NA,NA,NA,NA,NA,NA,2.5E+01,2.2E+00,1.0E+03,199,
1281,In-house,CdTe,No-shell,3.6,NA,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Epithelial,Hydra-EPI,Hydra,Primary,Polyp,BrdU-TUNEL,Passive,120,2.5E+01,2.5E+02,1.5E+08,1.0E+00,9.0E-02,71.4,6.7,NA,NA,NA,NA,NA,NA,2.5E+01,2.2E+00,1.0E+03,199,
1282,In-house,CdTe,No-shell,3.6,NA,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Stem-cell,Hydra-EPI,Hydra,Primary,Polyp,BrdU-TUNEL,Passive,144,2.5E+01,2.5E+02,1.5E+08,1.0E+00,9.0E-02,74.1,NA,NA,NA,NA,NA,NA,NA,2.5E+01,2.2E+00,1.0E+03,199,
1283,In-house,CdTe,No-shell,3.6,NA,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Stem-cell,Hydra-STEM,Hydra,Primary,Polyp,BrdU-TUNEL,Passive,84,2.5E+01,2.5E+02,1.5E+08,1.0E+00,9.0E-02,72.7,6.3,NA,NA,NA,NA,NA,NA,2.5E+01,2.2E+00,1.0E+03,199,
1284,In-house,CdTe,No-shell,3.6,NA,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Stem-cell,Hydra-STEM,Hydra,Primary,Polyp,BrdU-TUNEL,Passive,96,2.5E+01,2.5E+02,1.5E+08,1.0E+00,9.0E-02,83.3,2.0,NA,NA,NA,NA,NA,NA,2.5E+01,2.2E+00,1.0E+03,199,
1285,In-house,CdTe,No-shell,3.6,NA,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Stem-cell,Hydra-STEM,Hydra,Primary,Polyp,BrdU-TUNEL,Passive,120,2.5E+01,2.5E+02,1.5E+08,1.0E+00,9.0E-02,83.3,6.7,NA,NA,NA,NA,NA,NA,2.5E+01,2.2E+00,1.0E+03,199,
1286,In-house,CdTe,No-shell,3.6,NA,Alkylthiol,TGA,Negative,Unmodified,Unmodified,Stem-cell,Hydra-STEM,Hydra,Primary,Polyp,BrdU-TUNEL,Passive,144,2.5E+01,2.5E+02,1.5E+08,1.0E+00,9.0E-02,94.4,1.5,NA,NA,NA,NA,NA,NA,2.5E+01,2.2E+00,1.0E+03,199,
1287,In-house,CdSe,ZnS,4.0,525,Silica,APTES-Gd,Neutral,Mineral,Gd,Epithelial,HeLa,Human ,Cell-line,Cervix,FACS,Active,24,5.0E+02,2.5E+02,1.5E+08,5.6E+00,2.5E-02,98.0,6.0,NA,NA,NA,NA,NA,NA,5.0E+02,4.4E+01,2.5E+04,200,
1288,In-house,CdSe,ZnS,4.0,525,Silica,APTES-Gd,Neutral,Mineral,Gd,Epithelial,A549,Human ,Cell-line,Lung,FACS,Active,24,5.0E+02,2.5E+02,1.5E+08,5.6E+00,2.5E-02,95.0,9.0,NA,NA,NA,NA,NA,NA,5.0E+02,4.4E+01,2.5E+04,200,
1289,In-house,CdSe,ZnS,4.0,525,Silica,APTES-Gd,Neutral,Mineral,Gd,Lymphoblast,Jurkat,Human ,Cell-line,Blood,FACS,Active,24,5.0E+02,2.5E+02,1.5E+08,5.6E+00,2.5E-02,97.0,7.0,NA,NA,NA,NA,NA,NA,5.0E+02,4.4E+01,2.5E+04,200,
1290,In-house,CdSe,ZnS,4.0,525,Silica,APTES-Gd,Neutral,Mineral,Gd,Leukocyte,K562,Human ,Cell-line,Blood,FACS,Active,24,5.0E+02,2.5E+02,1.5E+08,5.6E+00,2.5E-02,101.0,5.0,NA,NA,NA,NA,NA,NA,5.0E+02,4.4E+01,2.5E+04,200,
1291,In-house,CdS,No-shell,50.0,NA,Other-Hydrophobic,TOPO,Neutral,Unmodified,Unmodified,Somatic,Euglena,Protozoa,Primary,Microorganism,Trypan-Blue,Passive,168,2.0E+00,2.0E+01,1.2E+07,1.1E+02,1.0E+01,8.9,1.8,Under50,NA,NA,NA,1.0E+00,7.3E+01,2.0E+00,1.5E+02,5.0E+04,201,
1292,In-house,CdS,No-shell,50.0,NA,Other-Hydrophobic,TOPO,Neutral,Unmodified,Unmodified,Somatic,Euglena,Protozoa,Primary,Microorganism,Trypan-Blue,Passive,168,2.0E+00,2.0E+01,1.2E+07,1.1E+02,1.0E+01,0.0,NA,Under50,NA,NA,NA,1.0E+00,7.3E+01,2.0E+00,1.5E+02,5.0E+04,201,
1293,In-house,CdSe,CdS/ZnS,6.0,640,Other-Hydrophilic,Triethylamine-Doxorubicin,Negative,Toxin,Doxorubicin,Alveolar-Macrophage,Alveolar-macrophage,Rat,Primary,Lung,WST,Active,4,7.2E-01,7.2E-01,4.3E+05,9.0E-02,8.0E-04,91.2,3.5,NA,NA,NA,NA,NA,NA,7.2E-01,2.3E-01,8.1E+01,202,
1294,In-house,CdSe,CdS/ZnS,6.0,640,Other-Hydrophilic,Triethylamine-Doxorubicin,Negative,Toxin,Doxorubicin,Alveolar-Macrophage,Alveolar-macrophage,Rat,Primary,Lung,WST,Active,29,7.2E-01,7.2E-01,4.3E+05,9.0E-02,8.0E-04,54.1,8.1,NA,NA,NA,NA,NA,NA,7.2E-01,2.3E-01,8.1E+01,202,
1295,Commercial,CdSe,ZnS,3.4,530,Lipid,Lipid-PEG-SA-Biotin,Neutral,Protein,SA,Epithelial,MCF-7,Human ,Cell-line,Breast,MTT,Active,24,1.2E+02,2.4E+03,1.4E+09,1.3E+00,2.4E-01,91.4,2.9,NA,NA,NA,NA,NA,NA,1.2E+02,6.6E+00,4.3E+03,203,
1296,Commercial,CdSe,ZnS,3.4,530,Alkylthiol,MPA,Negative,Unmodified,Unmodified,Epithelial,MCF-7,Human ,Cell-line,Breast,MTT,Passive,24,1.2E+02,2.4E+03,1.4E+09,1.3E+00,2.4E-01,57.1,5.7,NA,NA,NA,NA,NA,NA,1.2E+02,6.6E+00,4.3E+03,203,
1297,Commercial,CdSe,ZnS,5.0,585,Amphiphilic-polymer,Amphiphilic-polymer-SA,Neutral,Protein,SA-TAT,Epithelial,A549,Human ,Cell-line,Lung,WST,Active,3,2.8E+00,5.5E+01,3.3E+07,1.0E-01,1.8E-02,100.0,7.0,Over50,NA,NA,NA,1.3E-01,2.2E-02,2.8E+00,4.9E-01,2.2E+02,204,
1298,In-house,CdTe,No-shell,3.5,605,Alkylthiol,TGA-Gelatin,Neutral,Protein,Gelatin,Epithelial,HONE-1,Human ,Cell-line,Nasopharyngeal ,LDH,Active,2,1.9E+03,1.9E+04,1.1E+10,7.0E+01,6.2E+00,75.9,8.6,Over50,NA,NA,NA,3.2E+02,2.5E+01,1.9E+03,1.5E+02,7.3E+04,205,
1299,In-house,CdTe,No-shell,5.1,NA,Alkylthiol,MIA,Negative,Unmodified,Unmodified,Fibroblast,NIH/3T3,Mouse,Cell-line,Embryo,MTT,Passive,24,8.2E+02,4.1E+04,2.5E+10,9.4E+01,4.2E+01,27.6,2.9,NA,NA,NA,NA,NA,NA,8.2E+02,2.0E+02,6.7E+04,206,
1300,In-house,CdTe,No-shell,5.1,NA,Alkylthiol,MIA-RGDS,Neutral,Delivery-Peptide,RGD-Peptide,Fibroblast,NIH/3T3,Mouse,Cell-line,Embryo,MTT,Active,24,8.2E+02,4.1E+04,2.5E+10,9.4E+01,4.2E+01,66.3,3.4,NA,NA,NA,NA,NA,NA,8.2E+02,2.0E+02,6.7E+04,206,
1301,In-house,CdTe,No-shell,5.1,NA,Alkylthiol,MIA,Negative,Unmodified,Unmodified,Fibroblast,NIH/3T3,Mouse,Cell-line,Embryo,MTT,Passive,24,8.2E+02,4.1E+04,2.5E+10,9.4E+01,4.2E+01,18.0,1.1,NA,NA,NA,NA,NA,NA,8.2E+02,2.0E+02,6.7E+04,206,
1302,In-house,CdTe,No-shell,5.1,NA,Alkylthiol,MIA-RGDS,Neutral,Delivery-Peptide,RGD-Peptide,Fibroblast,NIH/3T3,Mouse,Cell-line,Embryo,MTT,Active,24,8.2E+02,4.1E+04,2.5E+10,9.4E+01,4.2E+01,89.9,1.1,NA,NA,NA,NA,NA,NA,8.2E+02,2.0E+02,6.7E+04,206,
1303,In-house,CdTe,No-shell,5.1,NA,Alkylthiol,MIA,Negative,Unmodified,Unmodified,Fibroblast,NIH/3T3,Mouse,Cell-line,Embryo,MTT,Passive,24,8.2E+02,4.1E+04,2.5E+10,9.4E+01,4.2E+01,23.6,0.7,NA,NA,NA,NA,NA,NA,8.2E+02,2.0E+02,6.7E+04,206,
1304,In-house,CdTe,No-shell,5.1,NA,Alkylthiol,MIA-RGDS,Neutral,Delivery-Peptide,RGD-Peptide,Fibroblast,NIH/3T3,Mouse,Cell-line,Embryo,MTT,Active,24,8.2E+02,4.1E+04,2.5E+10,9.4E+01,4.2E+01,94.4,3.4,NA,NA,NA,NA,NA,NA,8.2E+02,2.0E+02,6.7E+04,206,
1305,In-house,CdSe,No-shell,6.0,585,Other-Hydrophilic,Hydrophilic-Amine,Positive,Unmodified,Unmodified,Epithelial,HepG2,Human ,Cell-line,Liver,Resazurin,Passive,72,6.5E+02,6.5E+03,3.9E+09,1.5E+02,1.3E+01,18.9,6.6,NA,NA,NA,NA,NA,NA,6.5E+02,2.5E+02,7.3E+04,207,
1306,In-house,CdSe,ZnS,7.0,NA,Other-Hydrophilic,Hydrophilic-Amine,Positive,Unmodified,Unmodified,Epithelial,HepG2,Human ,Cell-line,Liver,Resazurin,Passive,72,4.5E+02,4.5E+03,2.7E+09,1.0E+02,9.2E+00,23.6,4.7,NA,NA,NA,NA,NA,NA,4.5E+02,2.5E+02,7.0E+04,207,
1307,In-house,CdSe,No-shell,6.0,585,Other-Hydrophilic,Hydrophilic-Amine,Positive,Unmodified,Unmodified,Epithelial,HepG2,Human ,Cell-line,Liver,Resazurin,Passive,72,6.5E+02,6.5E+03,3.9E+09,1.5E+02,1.3E+01,84.9,8.5,NA,NA,NA,NA,NA,NA,6.5E+02,2.5E+02,7.3E+04,207,
1308,In-house,CdSe,ZnS,7.0,NA,Other-Hydrophilic,Hydrophilic-Amine,Positive,Unmodified,Unmodified,Epithelial,HepG2,Human ,Cell-line,Liver,Resazurin,Passive,72,4.5E+02,4.5E+03,2.7E+09,1.0E+02,9.2E+00,92.5,60.4,NA,NA,NA,NA,NA,NA,4.5E+02,2.5E+02,7.0E+04,207,
1309,In-house,CdSe,No-shell,6.0,585,Other-Hydrophilic,Hydrophilic-Amine,Positive,Unmodified,Unmodified,Epithelial,HepG2,Human ,Cell-line,Liver,Resazurin,Passive,72,6.5E+02,6.5E+03,3.9E+09,1.5E+02,1.3E+01,56.6,9.4,NA,NA,NA,NA,NA,NA,6.5E+02,2.5E+02,7.3E+04,207,
1310,In-house,CdSe,ZnS,7.0,NA,Other-Hydrophilic,Hydrophilic-Amine,Positive,Unmodified,Unmodified,Epithelial,HepG2,Human ,Cell-line,Liver,Resazurin,Passive,72,4.5E+02,4.5E+03,2.7E+09,1.0E+02,9.2E+00,62.3,6.6,NA,NA,NA,NA,NA,NA,4.5E+02,2.5E+02,7.0E+04,207,
