Reference,Study title,DOI,Dose,Time,Zeta_W,Zeta_W measurement,Zeta_M,Zeta_M measurement,Hydro_W,Hydro_size_W measrement,Hydro_M,Hydro_size_M measrement,Size,Size measurement,SSA,Surf_area measurement,NP type,shape,Shape measurement,C_Origin,C_name,C_Type,Assay,Cell viability
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",10,24,-15.5,?,-8.5,?,?,?,?,?,100,TEM,?,?,SWCNT,Nanotubes,TEM,Rat,PC12,Pheochromocytoma,LDH,Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",100,24,-15.5,?,-8.5,?,?,?,?,?,100,TEM,?,?,SWCNT,Nanotubes,TEM,Rat,PC12,Pheochromocytoma,LDH,Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",0.1,24,-35.6,?,-8.5,?,?,?,?,?,1,TEM,?,?,GO,flat,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",1,24,-35.6,?,-8.5,?,?,?,?,?,1,TEM,?,?,GO,flat,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",10,24,-35.6,?,-8.5,?,?,?,?,?,1,TEM,?,?,GO,flat,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",100,24,-35.6,?,-8.5,?,?,?,?,?,1,TEM,?,?,GO,flat,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",0.1,24,-15.5,?,-8.5,?,?,?,?,?,100,TEM,?,?,SWCNT,Nanotubes,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",1,24,-15.5,?,-8.5,?,?,?,?,?,100,TEM,?,?,SWCNT,Nanotubes,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",10,24,-15.5,?,-8.5,?,?,?,?,?,100,TEM,?,?,SWCNT,Nanotubes,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",100,24,-15.5,?,-8.5,?,?,?,?,?,100,TEM,?,?,SWCNT,Nanotubes,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",0.01,24,-35.6,?,-8.5,?,?,?,?,?,1,TEM,?,?,GO,flat,TEM,Rat,PC12,Pheochromocytoma,MTT,Non-Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",0.01,24,-35.6,?,-8.5,?,?,?,?,?,1,TEM,?,?,GO,flat,TEM,Rat,PC12,Pheochromocytoma,Caspase_3/7 ,Non-Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",10,1,-35.6,?,-8.5,?,?,?,?,?,1,TEM,?,?,GO,flat,TEM,Rat,PC12,Pheochromocytoma,Caspase_3/7 ,Non-Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",10,4,-35.6,?,-8.5,?,?,?,?,?,1,TEM,?,?,GO,flat,TEM,Rat,PC12,Pheochromocytoma,Caspase_3/7 ,Non-Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",10,8,-35.6,?,-8.5,?,?,?,?,?,1,TEM,?,?,GO,flat,TEM,Rat,PC12,Pheochromocytoma,Caspase_3/7 ,Non-Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",10,16,-35.6,?,-8.5,?,?,?,?,?,1,TEM,?,?,GO,flat,TEM,Rat,PC12,Pheochromocytoma,Caspase_3/7 ,Toxic
"Zhang et al., 2010","Cytotoxicity effects of graphene
and single-wall carbon nanotubes in neural phaeochromocytomaderived
PC12 cells.","doi:10.1021/
nn1007176",10,24,-35.6,?,-8.5,?,?,?,?,?,1,TEM,?,?,GO,flat,TEM,Rat,PC12,Pheochromocytoma,Caspase_3/7 ,Non-Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,10,6,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,20,6,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,40,6,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,60,6,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,80,6,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,100,6,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,10,12,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,20,12,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,40,12,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,60,12,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,80,12,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,100,12,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,10,24,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,20,24,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,40,24,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,60,24,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,80,24,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,50,24,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,PI,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,100,24,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,PI,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,50,24,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,100,24,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,10,48,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,20,48,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,40,48,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,60,48,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,80,48,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,100,48,-14.3,DLS,?,?,?,?,?,?,219,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,10,6,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,20,6,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,40,6,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,60,6,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,80,6,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,100,6,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,10,12,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,20,12,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,40,12,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,60,12,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,80,12,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,100,12,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,10,24,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,20,24,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,40,24,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,60,24,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,80,24,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,50,24,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,PI,Non-Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,100,24,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,PI,Non-Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,50,24,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,100,24,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,10,48,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,20,48,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,40,48,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,60,48,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,80,48,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Kang et al., 2017","Graphene oxide and reduced graphene
oxide induced neural pheochromocytoma-derived PC12 cell lines
apoptosis and cell cycle alterations via the ERK signaling pathways.",doi:10.2147/IJN.S141032,100,48,-17.7,DLS,?,?,?,?,?,?,122,DLS,?,?,GO,?,?,Rat,PC12,Pheochromocytoma,CCK-8,Toxic
"Imam et al., 2015",Iron Oxide Nanoparticles Induce Dopaminergic Damage: In vitro Pathways and In Vivo Imaging Reveals Mechanism of Neuronal Damage,doi: 10.1007/s12035-015-9259-2,2.5,24,-33.9,DLS,?,?,23.2,DLS,?,?,10.8,TEM,?,?,FeO,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,BrdU,Non-Toxic
"Imam et al., 2015",Iron Oxide Nanoparticles Induce Dopaminergic Damage: In vitro Pathways and In Vivo Imaging Reveals Mechanism of Neuronal Damage,doi: 10.1007/s12035-015-9259-2,5,24,-33.9,DLS,?,?,23.2,DLS,?,?,10.8,TEM,?,?,FeO,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,BrdU,Non-Toxic
"Imam et al., 2015",Iron Oxide Nanoparticles Induce Dopaminergic Damage: In vitro Pathways and In Vivo Imaging Reveals Mechanism of Neuronal Damage,doi: 10.1007/s12035-015-9259-2,10,24,-33.9,DLS,?,?,23.2,DLS,?,?,10.8,TEM,?,?,FeO,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,BrdU,Toxic
"Imam et al., 2015",Iron Oxide Nanoparticles Induce Dopaminergic Damage: In vitro Pathways and In Vivo Imaging Reveals Mechanism of Neuronal Damage,doi: 10.1007/s12035-015-9259-2,20,24,-33.9,DLS,?,?,23.2,DLS,?,?,10.8,TEM,?,?,FeO,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,Caspase_3/7 ,Toxic
"Imam et al., 2015",Iron Oxide Nanoparticles Induce Dopaminergic Damage: In vitro Pathways and In Vivo Imaging Reveals Mechanism of Neuronal Damage,doi: 10.1007/s12035-015-9259-2,40,24,-33.9,DLS,?,?,23.2,DLS,?,?,10.8,TEM,?,?,FeO,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,Caspase_3/7 ,Toxic
"Imam et al., 2015",Iron Oxide Nanoparticles Induce Dopaminergic Damage: In vitro Pathways and In Vivo Imaging Reveals Mechanism of Neuronal Damage,doi: 10.1007/s12035-015-9259-2,10,24,-33.9,DLS,?,?,23.2,DLS,?,?,10.8,TEM,?,?,FeO,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,Caspase_3/7 ,Toxic
"Imam et al., 2015",Iron Oxide Nanoparticles Induce Dopaminergic Damage: In vitro Pathways and In Vivo Imaging Reveals Mechanism of Neuronal Damage,doi: 10.1007/s12035-015-9259-2,2.5,24,-32.9,DLS,?,?,39.8,DLS,?,?,30.1,TEM,?,?,FeO,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,BrdU,Non-Toxic
"Imam et al., 2015",Iron Oxide Nanoparticles Induce Dopaminergic Damage: In vitro Pathways and In Vivo Imaging Reveals Mechanism of Neuronal Damage,doi: 10.1007/s12035-015-9259-2,5,24,-32.9,DLS,?,?,39.8,DLS,?,?,30.1,TEM,?,?,FeO,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,BrdU,Non-Toxic
"Imam et al., 2015",Iron Oxide Nanoparticles Induce Dopaminergic Damage: In vitro Pathways and In Vivo Imaging Reveals Mechanism of Neuronal Damage,doi: 10.1007/s12035-015-9259-2,10,24,-32.9,DLS,?,?,39.8,DLS,?,?,30.1,TEM,?,?,FeO,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,BrdU,Non-Toxic
"Imam et al., 2015",Iron Oxide Nanoparticles Induce Dopaminergic Damage: In vitro Pathways and In Vivo Imaging Reveals Mechanism of Neuronal Damage,doi: 10.1007/s12035-015-9259-2,10,24,-32.9,DLS,?,?,39.8,DLS,?,?,30.1,TEM,?,?,FeO,Spherical,TEM,Human,SHSY5Y,Neuroblastoma,Caspase_3/7 ,Toxic
"Hussain et al., 2006","The interaction of manganese nanoparticles with PC-
12 cells induces dopamine depletion",doi:10.1093/toxsci/kfl020,5,24,?,?,?,?,?,?,?,?,40,TEM,?,?,MnO,irregular,TEM,Rat,PC12,Pheochromocytoma,MTT,Non-Toxic
"Hussain et al., 2006","The interaction of manganese nanoparticles with PC-
12 cells induces dopamine depletion",doi:10.1093/toxsci/kfl020,10,24,?,?,?,?,?,?,?,?,40,TEM,?,?,MnO,irregular,TEM,Rat,PC12,Pheochromocytoma,MTT,Toxic
