Nanoparticle,Type: Organic (O)/inorganic (I),coat,Diameter (nm),Concentration μM,Zeta potential (mV),Cells,Cell line (L)/primary cells (P),Human(H)/Animal(A) cells,Animal?,Cell morphology,"Cell age: embryonic (E), Adult (A)",Cell-organ/tissue source,Exposure time (h),Test,Test indicator,Biochemical metric,% Cell viability,Interference checked (Y/N),Colloidal stability checked (Y/N),Positive control (Y/N),Publication year,Particle ID,Reference DOI,
SiO2,I,,96,5.41067E-05,-11,Caco­2,L,H,,Epithelial,A,Colon,24,Live/Dead,Sytox Red,cell membrane integrity,100,N,Y,Y,2013,70,10.1021/tx400231u,
SiO2,I,,96,5.41067E-05,-11,Caco­2,L,H,,Epithelial,A,Colon,24,Live/Dead,Annexin V,cell membrane integrity,100,N,Y,Y,2013,70,10.1021/tx400231u,
SiO2,I,,96,5.41067E-05,-11,Caco­2,L,H,,Epithelial,A,Colon,24,LDH,LDH activity assay kit,LDH leakage,105.3684,N,Y,Y,2013,70,10.1021/tx400231u,
SiO2,I,,96,5.41067E-05,-11,Caco­2,L,H,,Epithelial,A,Colon,24,MTT,LDH activity assay kit,cell metabolic activity,106.995285,N,Y,Y,2013,70,10.1021/tx400231u,
SiO2,I,Digestive enzymes,96,5.41067E-05,-11,Caco­2,L,H,,Epithelial,A,Colon,24,Live/Dead,Sytox Red,cell membrane integrity,100.50429,N,Y,Y,2013,70,10.1021/tx400231u,
SiO2,I,Digestive enzymes,96,5.41067E-05,-11,Caco­2,L,H,,Epithelial,A,Colon,24,Live/Dead,Annexin V,cell membrane integrity,100,N,Y,Y,2013,70,10.1021/tx400231u,
SiO2,I,Digestive enzymes,96,5.41067E-05,-11,Caco­2,L,H,,Epithelial,A,Colon,24,MTT,tetrazolium salt,cell metabolic activity,96.585365,N,Y,Y,2013,70,10.1021/tx400231u,
SiO2,I,,598.2,1.67721E-06,87,primary tissue Macrophage,P,H,,Macrophage,A,lung,24,Vialight,luciferase,ATP content,68.14815,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,598.2,4.19302E-07,87,primary tissue Macrophage,P,H,,Macrophage,A,lung,24,Vialight,luciferase,ATP content,115.55556,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,598.2,1.67721E-06,87,primary alveolar Macrophage,P,H,,Macrophage,A,lung,24,Vialight,luciferase,ATP content,69.92593,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,598.2,4.19302E-07,87,primary alveolar Macrophage,P,H,,Macrophage,A,lung,24,Vialight,luciferase,ATP content,87.703705,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,598.2,2.79535E-06,87,primary alveolar Epithelial cells,P,H,,Epithelial,A,lung,24,Vialight,luciferase,ATP content,82.025314,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,598.2,1.67721E-06,87,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Vialight,luciferase,ATP content,44.397907,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,598.2,4.19302E-07,87,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Vialight,luciferase,ATP content,62.827225,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,598.2,1.67721E-06,87,A549,L,H,,Epithelial,A,Lung,24,Vialight,luciferase,ATP content,104.242424,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,598.2,4.19302E-07,87,A549,L,H,,Epithelial,A,Lung,24,Vialight,luciferase,ATP content,121.21212,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,240,2.59712E-05,58,primary tissue Macrophage,P,H,,Macrophage,A,lung,24,Vialight,luciferase,ATP content,108.44444,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,240,6.49281E-06,58,primary tissue Macrophage,P,H,,Macrophage,A,lung,24,Vialight,luciferase,ATP content,142.22223,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,240,2.59712E-05,58,primary alveolar Macrophage,P,H,,Macrophage,A,lung,24,Vialight,luciferase,ATP content,87.111115,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,240,6.49281E-06,58,primary alveolar Macrophage,P,H,,Macrophage,A,lung,24,Vialight,luciferase,ATP content,104.888885,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,240,4.32854E-05,58,primary alveolar Epithelial cells,P,H,,Epithelial,A,lung,24,Vialight,luciferase,ATP content,87.08861,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,240,2.59712E-05,58,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Vialight,luciferase,ATP content,76.23037,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,240,2.59712E-05,58,A549,L,H,,Epithelial,A,Lung,24,Vialight,luciferase,ATP content,113.93939,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,240,6.49281E-06,58,A549,L,H,,Epithelial,A,Lung,24,Vialight,luciferase,ATP content,112.323235,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,369,7.14574E-06,79,primary tissue Macrophage,P,H,,Macrophage,A,lung,24,Vialight,luciferase,ATP content,3.5555556,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,369,1.78643E-06,79,primary tissue Macrophage,P,H,,Macrophage,A,lung,24,Vialight,luciferase,ATP content,121.77778,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,369,7.14574E-06,79,primary alveolar Macrophage,P,H,,Macrophage,A,lung,24,Vialight,luciferase,ATP content,34.666668,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,369,1.78643E-06,79,primary alveolar Macrophage,P,H,,Macrophage,A,lung,24,Vialight,luciferase,ATP content,95.111115,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,369,1.19096E-05,79,primary alveolar epithelial cells,P,H,,Epithelial,A,lung,24,Vialight,luciferase,ATP content,87.08861,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,369,1.78643E-06,79,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Vialight,luciferase,ATP content,77.90576,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,369,7.14574E-06,79,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Vialight,luciferase,ATP content,32.67016,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,369,1.78643E-06,79,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Vialight,luciferase,ATP content,59.47644,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,369,7.14574E-06,79,A549,L,H,,Epithelial,A,Lung,24,Vialight,luciferase,ATP content,96.969696,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,369,1.78643E-06,79,A549,L,H,,Epithelial,A,Lung,24,Vialight,luciferase,ATP content,123.63636,N,Y,N,2013,71,10.1021/nn304439f,
SiO2,I,,29.5,0.000885712,,Caco­2,L,H,,Epithelial,A,Colon,4,Vialight,luciferase,ATP content,103.35135,Y,Y,Y,2008,72,10.1080/17435390802513204,
SiO2,I,,29.5,0.001817864,,Caco­2,L,H,,Epithelial,A,Colon,4,Vialight,luciferase,ATP content,103.35135,Y,Y,Y,2008,72,10.1080/17435390802513204,
SiO2,I,,29.5,0.003620872,,Caco­2,L,H,,Epithelial,A,Colon,4,Vialight,luciferase,ATP content,104,Y,Y,Y,2008,72,10.1080/17435390802513204,
SiO2,I,,29.5,0.007295459,,Caco­2,L,H,,Epithelial,A,Colon,4,Vialight,luciferase,ATP content,100.54054,Y,Y,Y,2008,72,10.1080/17435390802513204,
SiO2,I,,29.5,0.014531302,,Caco­2,L,H,,Epithelial,A,Colon,4,Vialight,luciferase,ATP content,88.64865,Y,Y,Y,2008,72,10.1080/17435390802513204,
SiO2,I,,29.5,0.028943855,,Caco­2,L,H,,Epithelial,A,Colon,4,Vialight,luciferase,ATP content,39.783783,Y,Y,Y,2008,72,10.1080/17435390802513204,
SiO2,I,,29.5,0.05831708,,Caco­2,L,H,,Epithelial,A,Colon,4,Vialight,luciferase,ATP content,16.864864,Y,Y,Y,2008,72,10.1080/17435390802513204,
SiO2,I,,29.5,0.11615761,,Caco­2,L,H,,Epithelial,A,Colon,4,Vialight,luciferase,ATP content,12.972973,Y,Y,Y,2008,72,10.1080/17435390802513204,
SiO2,I,,29.5,0.233082097,,Caco­2,L,H,,Epithelial,A,Colon,4,Vialight,luciferase,ATP content,15.351352,Y,Y,Y,2008,72,10.1080/17435390802513204,
SiO2,I,,13,0.544721986,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,CellTiter­Blue,Alamar blue,cell metabolic activity,107.19556,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,5.447219856,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,CellTiter­Blue,Alamar blue,cell metabolic activity,100.594604,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,54.47219856,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,CellTiter­Blue,Alamar blue,cell metabolic activity,69.8427,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,544.7219856,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,CellTiter­Blue,Alamar blue,cell metabolic activity,22.485416,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,0.544721986,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,XTT,tetrazolium salt,cell metabolic activity,123.07841,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,5.447219856,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,XTT,tetrazolium salt,cell metabolic activity,114.21652,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,54.47219856,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,XTT,tetrazolium salt,cell metabolic activity,82.70829,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,544.7219856,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,XTT,tetrazolium salt,cell metabolic activity,24.78658,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,0.544721986,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,3.1170294,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,5.447219856,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,5.5710664,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,54.47219856,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,22.366335,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,544.7219856,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,70.10661,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,0.544721986,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Live/Dead,Propidium iodide,cell membrane integrity,95.226295,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,5.447219856,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Live/Dead,Propidium iodide,cell membrane integrity,85.60647,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,54.47219856,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Live/Dead,Propidium iodide,cell membrane integrity,69.19419,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,544.7219856,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Live/Dead,Propidium iodide,cell membrane integrity,9.763044,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,0.544721986,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Live/Dead,calcein AM,cell membrane integrity,93.752266,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,5.447219856,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Live/Dead,calcein AM,cell membrane integrity,91.6796,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,54.47219856,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Live/Dead,calcein AM,cell membrane integrity,71.492134,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,13,544.7219856,-27,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Live/Dead,calcein AM,cell membrane integrity,45.270145,Y,Y,Y,2012,73,10.5402/2012/454072,
SiO2,I,,25,0.0000025,30,HUVEC,P,H,,Endothelial,E,Umbilical cord,48,Alamar blue,Alamar blue,cell metabolic activity,108.29269,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,25,0.000025,30,HUVEC,P,H,,Endothelial,E,Umbilical cord,48,Alamar blue,Alamar blue,cell metabolic activity,103.414635,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,25,0.00025,30,HUVEC,P,H,,Endothelial,E,Umbilical cord,48,Alamar blue,Alamar blue,cell metabolic activity,109.268295,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,25,0.0025,30,HUVEC,P,H,,Endothelial,E,Umbilical cord,48,Alamar blue,Alamar blue,cell metabolic activity,107.31707,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,25,0.0000025,30,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,Alamar blue,Alamar blue,cell metabolic activity,104.51613,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,25,0.000025,30,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,Alamar blue,Alamar blue,cell metabolic activity,112.90323,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,25,0.00025,30,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,Alamar blue,Alamar blue,cell metabolic activity,112.90323,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,25,0.0025,30,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,Alamar blue,Alamar blue,cell metabolic activity,105.80645,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,25,0.0025,30,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,LDH,LDH activity assay kit,LDH leakage,98.4127197,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.0000025,32,HUVEC,P,H,,Endothelial,E,Umbilical cord,48,Alamar blue,Alamar blue,cell metabolic activity,108.29269,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.000025,32,HUVEC,P,H,,Endothelial,E,Umbilical cord,48,Alamar blue,Alamar blue,cell metabolic activity,110.243904,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.00025,32,HUVEC,P,H,,Endothelial,E,Umbilical cord,48,Alamar blue,Alamar blue,cell metabolic activity,105.36585,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.0025,32,HUVEC,P,H,,Endothelial,E,Umbilical cord,48,Alamar blue,Alamar blue,cell metabolic activity,109.268295,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.0000025,32,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,Alamar blue,Alamar blue,cell metabolic activity,100.645164,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.000025,32,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,Alamar blue,Alamar blue,cell metabolic activity,98.064514,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.00025,32,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,Alamar blue,Alamar blue,cell metabolic activity,103.870964,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.0025,32,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,Alamar blue,Alamar blue,cell metabolic activity,103.870964,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.0025,32,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,LDH,LDH activity assay kit,LDH leakage,100.0335435,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.0000025,-30,HUVEC,P,H,,Endothelial,E,Umbilical cord,48,Alamar blue,Alamar blue,cell metabolic activity,102.99595,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.000025,-30,HUVEC,P,H,,Endothelial,E,Umbilical cord,48,Alamar blue,Alamar blue,cell metabolic activity,102.99595,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.00025,-30,HUVEC,P,H,,Endothelial,E,Umbilical cord,48,Alamar blue,Alamar blue,cell metabolic activity,108.82591,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.0025,-30,HUVEC,P,H,,Endothelial,E,Umbilical cord,48,Alamar blue,Alamar blue,cell metabolic activity,104.93927,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.0000025,-30,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,Alamar blue,Alamar blue,cell metabolic activity,104.2915,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.000025,-30,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,Alamar blue,Alamar blue,cell metabolic activity,108.17814,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.00025,-30,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,Alamar blue,Alamar blue,cell metabolic activity,111.41701,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.0025,-30,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,Alamar blue,Alamar blue,cell metabolic activity,82.267204,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,60,0.0025,-30,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,LDH,LDH activity assay kit,LDH leakage,101.3927277,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,115,0.0000025,-48,HUVEC,P,H,,Endothelial,E,Umbilical cord,48,Alamar blue,Alamar blue,cell metabolic activity,90.688255,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,115,0.000025,-48,HUVEC,P,H,,Endothelial,E,Umbilical cord,48,Alamar blue,Alamar blue,cell metabolic activity,101.052635,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,115,0.00025,-48,HUVEC,P,H,,Endothelial,E,Umbilical cord,48,Alamar blue,Alamar blue,cell metabolic activity,90.688255,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,115,0.0025,-48,HUVEC,P,H,,Endothelial,E,Umbilical cord,48,Alamar blue,Alamar blue,cell metabolic activity,82.91498,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,115,0.0000025,-48,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,Alamar blue,Alamar blue,cell metabolic activity,104.2915,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,115,0.000025,-48,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,Alamar blue,Alamar blue,cell metabolic activity,101.7004,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,115,0.00025,-48,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,Alamar blue,Alamar blue,cell metabolic activity,86.15385,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,115,0.0025,-48,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,Alamar blue,Alamar blue,cell metabolic activity,75.789474,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,,115,0.0025,-48,HUVEC,P,H,,Endothelial,E,Umbilical cord,96,LDH,LDH activity assay kit,LDH leakage,99.8255736,N,Y,N,2014,74,10.1007/s11051-013-2229-6,
SiO2,I,CTAB,386.9,4.02943E-08,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,113.478264,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,8.05886E-08,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,97.17391,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,1.61177E-07,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,108.26087,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,3.22354E-07,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,97.82609,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,6.44708E-07,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,98.478264,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,1.29148E-06,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,100.434784,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,2.58297E-06,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,95.86957,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,5.16593E-06,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,79.565216,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,1.03319E-05,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,94.565216,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,2.06637E-05,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,79.565216,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,4.02943E-08,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,24,MTT,tetrazolium salt,cell metabolic activity,105.26316,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,8.05886E-08,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,24,MTT,tetrazolium salt,cell metabolic activity,120.70175,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,1.61177E-07,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,24,MTT,tetrazolium salt,cell metabolic activity,117.192986,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,3.22354E-07,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,24,MTT,tetrazolium salt,cell metabolic activity,105.96491,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,6.44708E-07,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,24,MTT,tetrazolium salt,cell metabolic activity,84.91228,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,1.29148E-06,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,24,MTT,tetrazolium salt,cell metabolic activity,95.4386,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,2.58297E-06,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,24,MTT,tetrazolium salt,cell metabolic activity,94.03509,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,5.16593E-06,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,24,MTT,tetrazolium salt,cell metabolic activity,103.85965,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,1.03319E-05,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,24,MTT,tetrazolium salt,cell metabolic activity,79.29825,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,CTAB,386.9,2.06637E-05,-35.9,PC12,L,A,Rat,Irregular,A,Adrenal gland,24,MTT,tetrazolium salt,cell metabolic activity,63.85965,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,Phosphonate,375.4,4.4112E-08,-26.8,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,97.82609,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,Phosphonate,375.4,8.8224E-08,-26.8,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,95.21739,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,Phosphonate,375.4,1.76448E-07,-26.8,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,89.347824,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,Phosphonate,375.4,3.52896E-07,-26.8,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,106.304344,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,Phosphonate,375.4,7.05792E-07,-26.8,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,95.21739,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,Phosphonate,375.4,1.41385E-06,-26.8,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,96.521736,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,Phosphonate,375.4,2.82769E-06,-26.8,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,93.91304,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,Phosphonate,375.4,5.65538E-06,-26.8,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,72.391304,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,Phosphonate,375.4,1.13108E-05,-26.8,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,71.08696,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,Phosphonate,375.4,2.26215E-05,-26.8,PC12,L,A,Rat,Irregular,A,Adrenal gland,12,MTT,tetrazolium salt,cell metabolic activity,71.73913,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,Phosphonate,375.4,4.4112E-08,-26.8,PC12,L,A,Rat,Irregular,A,Adrenal gland,24,MTT,tetrazolium salt,cell metabolic activity,103.1579,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,Phosphonate,375.4,8.8224E-08,-26.8,PC12,L,A,Rat,Irregular,A,Adrenal gland,24,MTT,tetrazolium salt,cell metabolic activity,96.14035,N,N,N,2015,75,10.3109/15376516.2015.1070229,
SiO2,I,Phosphonate,375.4,1.76448E-07,-26.8,PC12,L,A,Rat,Irregular,A,Adrenal gland,24,MTT,tetrazolium salt,cell metabolic activity,110.17544,N,N,N,2015,75,10.3109/15376516.2015.1070229,
